Entry,pstr_c3,pstr_c5,pstr_c7,pstr_c8,pstr_d3,pstr_d5,pstr_d7
Q9JKB8,383,245,270,327,351,88,56
Q9JL04,7,31,63,19,37,0,0
Q9JL18,86,68,181,117,114,10,21
Q9JLC8,0,0,8,18,1,0,0
Q9JLG8,944,594,1456,707,1126,150,87
Q9JLI7,76,102,365,113,89,26,13
Q9JLY7,68,42,106,61,115,15,20
Q9JM15,9,10,13,26,16,1,0
Q9JM76,50,53,92,40,46,6,0
Q9JM83,49,46,157,19,77,1,6
Q9JMB7,241,110,245,123,162,15,22
Q9JMC3,10,39,39,3,45,5,4
Q9JME5,259,310,334,234,275,89,39
Q9JSZ0,40,60,65,11,37,3,5
Q9JYI8,3,15,26,0,4,1,0
Q9K6Y7,41,37,10,13,31,19,3
Q9K907,86,41,82,37,107,10,9
Q9K993,41,61,123,18,96,21,0
Q9K9G8,14,0,8,0,7,3,0
Q9KA74,0,0,0,0,0,0,0
Q9KCZ4,11,23,29,24,32,1,3
Q9KG32,37,17,73,10,32,0,0
Q9KGJ3,35,23,169,84,81,14,0
Q9KHE2,16,5,65,24,54,0,1
Q9KLK7,54,45,114,6,88,10,0
Q9KQH0,31,24,32,62,55,0,8
Q9L0L6,38,7,53,33,34,12,1
Q9L4Q7,33,26,48,79,58,16,9
Q9L7R4,4,8,77,24,33,0,0
Q9L9D7,38,29,83,32,57,20,7
Q9L9G0,436,336,1212,386,240,75,26
Q9LAP7,0,3,20,0,0,0,0
Q9LBG2,178,122,450,156,218,13,13
Q9LBV3,24,0,13,0,5,0,0
Q9LCQ4,15,31,51,3,38,8,0
Q9LD55,155,56,239,45,67,24,12
Q9LDH3,24,43,47,64,38,13,0
Q9LDI3,176,104,324,212,185,39,24
Q9LDK9,379,260,481,202,392,117,36
Q9LDM2,39,32,28,20,34,11,5
Q9LDN0,164,82,233,38,91,8,0
Q9LDY5,142,52,80,106,60,13,1
Q9LE22,119,134,243,102,188,30,6
Q9LEB3,27,7,38,18,16,0,0
Q9LEK8,144,99,133,72,119,31,22
Q9LEN0,61,29,101,92,95,19,4
Q9LEV7,5,30,56,20,33,7,0
Q9LEW8,37,14,56,15,50,8,9
Q9LEX1,0,1,4,0,1,0,0
Q9LF30,479,313,791,499,478,124,52
Q9LF55,8,21,50,8,39,16,4
Q9LFB8,27,4,55,9,11,0,0
Q9LFC5,88,48,144,82,117,24,20
Q9LFE0,0,0,0,0,0,2,0
Q9LFF1,746,625,1272,859,609,105,58
Q9LFH6,29,21,34,15,19,0,0
Q9LFN3,46,16,3,0,36,8,0
Q9LFP1,48,42,59,51,54,17,3
Q9LFV6,39,52,59,11,73,20,7
Q9LG26,38,58,160,27,115,10,14
Q9LH76,0,4,0,0,0,0,0
Q9LHD2,16,6,25,8,12,8,13
Q9LHE5,38,37,317,18,131,15,3
Q9LHG8,6,41,77,40,34,1,0
Q9LHH7,148,223,461,212,295,29,32
Q9LHQ7,13,16,6,44,18,14,0
Q9LHT0,130,117,229,143,142,53,34
Q9LI84,16,12,13,0,5,0,0
Q9LIC2,588,543,1478,542,714,122,76
Q9LIE4,16,28,79,14,46,5,3
Q9LIG0,27,33,116,12,30,13,0
Q9LIR9,541,296,858,457,280,64,30
Q9LJD8,79,66,105,39,62,19,10
Q9LJL3,682,470,1466,565,602,99,89
Q9LJU7,128,31,182,93,124,22,15
Q9LJX4,92,176,409,137,99,24,0
Q9LJX8,404,394,901,504,458,97,33
Q9LK09,201,150,433,127,211,36,13
Q9LK25,162,113,458,149,183,19,27
Q9LK57,0,0,0,0,0,1,0
Q9LK65,169,74,156,124,126,18,38
Q9LK94,0,0,0,0,0,0,0
Q9LKA3,0,0,0,0,7,6,0
Q9LKB9,430,356,794,315,298,44,16
Q9LKI5,0,0,0,0,0,0,0
Q9LKR3,25,16,106,30,19,0,3
Q9LKW9,361,211,422,241,208,47,15
Q9LM02,536,366,1279,538,677,105,81
Q9LM66,90,98,282,92,113,35,1
Q9LM92,261,248,900,196,390,52,51
