Entry,oann_c1,oann_c2,oann_c3,oann_c6,oann_c7,oann_c8,oann_d1,oann_d3,oann_d6,oann_d7,oann_d8
Q8R5B6,18,0,0,7,10,2,0,0,0,21,11
Q8R5C5,731,773,495,786,754,490,754,446,393,846,548
Q8R5C8,121,137,87,320,210,166,176,296,679,339,173
Q8R5F3,29,31,31,36,30,39,42,36,13,69,15
Q8R5G2,57,85,44,75,63,61,55,39,2,59,53
Q8R5H8,84,81,61,148,145,62,64,59,19,215,81
Q8R5I0,6,2,0,7,5,0,0,5,0,0,3
Q8R5L3,615,782,260,956,618,415,543,422,281,356,435
Q8R9K5,51,61,0,0,0,0,0,0,0,0,0
Q8RB30,0,2,1,7,0,0,0,8,0,6,3
Q8RNT4,0,0,0,3,0,2,0,1,4,0,0
Q8RWD9,75,90,38,100,127,72,61,41,0,87,81
Q8RXU4,2,0,0,13,0,0,0,8,0,7,4
Q8RY11,0,5,0,2,0,0,1,0,0,0,1
Q8RYE9,27,34,15,53,40,20,25,22,6,11,10
Q8S7M7,13,7,17,58,28,0,15,8,13,0,22
Q8SJB6,453,564,945,1958,1591,5268,1298,1818,5230,1588,3158
Q8SPN2,3,0,0,0,5,0,0,0,0,0,1
Q8SQ21,275,442,192,399,390,244,231,173,71,253,195
Q8SQ27,154,164,68,276,160,77,145,89,34,136,104
Q8SQ74,226,397,150,1231,604,262,299,113,96,449,408
Q8SSS9,397,5,8,400,35,24,330,0,52,14,29
Q8STF0,69,138,66,65,88,59,45,89,30,103,63
Q8SX37,281,290,311,323,324,179,220,341,71,108,173
Q8SZA8,12,11,5,35,23,5,44,3,62,49,15
Q8T3X9,699,884,457,1128,887,603,766,537,403,800,566
Q8T5C6,0,19,0,38,0,22,22,33,0,89,15
Q8T5G8,0,0,4,10,4,1,0,0,0,0,2
Q8T5Z4,6981,13125,6979,5494,9895,6825,9537,10752,4272,16163,4570
Q8T773,41,149,39,47,71,35,116,131,27,48,61
Q8T882,1447,1860,1068,2741,2118,1520,2855,2653,2404,2244,1503
Q8T9W4,3,19,5,6,18,10,5,0,3,13,12
Q8TA86,0,0,0,0,1,2,1,1,0,1,1
Q8TAD4,120,202,280,289,185,88,180,261,89,70,132
Q8TAQ2,283,655,248,537,448,369,362,339,384,367,378
