Entry,pstr_c3,pstr_c5,pstr_c7,pstr_c8,pstr_d3,pstr_d5,pstr_d7
Q14774,0,67,9,8,2,2,0
Q14781,71,565,41,19,104,241,36
Q147X3,225,368,182,285,258,270,122
Q14894,79,28,8,34,130,7,0
Q148D5,727,1182,1019,976,1011,1032,575
Q148G4,363,208,117,100,315,235,203
Q14929,133,313,196,247,142,168,41
Q14974,1203,1493,733,1158,1201,1326,389
Q149M9,367,95,66,214,386,780,113
Q149T7,1400,2328,1468,1644,1331,1745,1894
Q14AI0,972,1093,792,1376,907,902,81
Q14AT5,49,94,11,16,26,49,16
Q14AW5,222,167,188,213,438,276,143
Q14CX7,1929,1633,751,1273,1486,1229,419
Q15018,495,1730,357,678,643,1288,260
Q15020,248,445,144,224,232,357,55
Q15024,127,259,189,124,153,204,45
Q15058,493,445,257,261,393,415,858
Q15063,0,0,0,22,0,0,0
Q15075,981,1534,1083,1065,1065,999,352
Q15084,986,1614,1227,1696,1530,2060,752
Q15113,0,5,5,0,0,8,0
Q15269,804,1072,344,477,948,989,354
Q15276,351,476,144,219,382,433,53
Q15366,2,6,5,0,1,5,4
Q15370,4111,5498,3429,5821,3280,4920,1497
Q15382,1346,1187,514,887,1343,1073,538
Q15399,1763,2179,1476,2738,2494,4612,7535
Q15404,117,297,97,99,118,241,82
Q15427,406,651,469,537,359,455,301
Q15428,702,558,762,696,557,489,492
Q15438,1071,1865,879,1873,781,1142,158
Q15526,253,353,228,315,331,396,117
Q15527,364,633,315,451,269,590,129
Q15542,13,1,2,8,8,0,0
Q15546,42,108,12,8,49,28,44
Q155Q3,31,6,4,0,7,13,15
Q15723,790,790,433,1291,574,773,541
Q15746,0,0,1,3,0,0,18
Q15750,479,814,474,754,420,581,216
Q15760,516,490,228,484,460,408,317
Q15814,275,312,149,156,254,297,84
Q15853,2324,2650,1182,2049,1580,1708,472
Q16204,736,1392,899,707,502,850,265
Q16281,69,5,20,16,47,27,41
Q16348,0,3,0,0,0,3,1
Q16445,248,511,318,625,372,224,104
Q16611,597,1062,766,945,498,774,508
Q16621,2255,1794,1018,1532,1220,1803,3257
Q16667,50,73,33,87,123,60,0
Q16698,495,348,209,295,535,338,149
Q16720,64,341,227,232,192,228,30
Q16772,0,0,0,0,0,37,2
Q16820,83,4,75,27,141,61,168
Q16822,4,5,0,9,0,0,0
Q16831,1481,2633,1331,1853,1761,2196,961
Q16832,508,1199,762,321,363,633,411
Q16851,515,1765,638,566,554,594,121
Q16891,175,252,68,107,140,197,111
Q16959,1093,1562,591,1471,1383,1799,928
Q16960,612,972,653,759,966,1015,684
Q16982,317,824,277,478,267,407,33
Q16U25,33,88,57,54,62,66,44
Q17292,220,317,328,489,453,423,368
Q17298,6,0,2,0,0,1,0
Q17320,370,806,282,374,410,539,284
Q17330,211,316,199,113,207,283,561
Q174D3,277,252,213,368,58,185,52
Q17551,5,11,11,0,3,14,0
Q17770,12678,21264,16837,16699,13701,21036,21046
Q17938,0,0,0,0,0,0,0
Q17LW0,131,34,86,76,72,153,37
Q17M80,0,0,0,0,0,0,0
Q17Q97,1569,907,792,849,1221,681,371
Q17QA0,160,204,74,219,155,125,36
Q17QF0,987,1268,698,1092,1627,1379,562
Q17QH8,223,493,50,69,58,87,74
Q17QJ5,1235,2054,1120,1861,1231,1361,1204
Q17QK3,0,0,0,0,0,0,0
Q17QM8,128,231,74,205,102,169,71
Q17QQ2,340,837,561,711,415,552,270
Q17QR8,285,244,114,160,223,255,39
Q17QT2,942,1855,748,1178,958,1035,804
Q17QU4,525,928,671,1260,430,538,315
Q17QW3,15,0,0,42,0,7,0
Q17R09,21,3,6,17,11,22,0
Q17R13,0,0,0,0,0,0,9
Q17R89,937,1458,821,1321,709,1246,469
Q17RD7,972,1527,432,982,1155,958,536
Q18158,0,0,0,0,0,0,0
Q18169,0,0,0,0,0,3,0
Q18246,0,0,0,0,2,0,0
Q18297,1071,822,352,378,1076,808,1087
Q18515,66,202,116,82,76,118,33
Q18885,0,0,0,0,3,0,0
Q18EY5,0,0,0,0,0,0,0
Q18PE1,982,1840,829,1182,841,971,413
Q19269,52,27,36,59,134,102,75
Q19469,14,42,41,20,23,30,21
Q19673,41,750,35,379,34,203,7
Q196X6,19,10,16,23,31,18,10
Q19713,6,0,0,15,0,0,0
Q19749,33,56,30,29,16,24,6
Q19KI0,0,0,0,0,0,45,0
Q1ACM8,786,2577,918,968,214,279,0
Q1AE95,335,572,302,309,350,505,160
