Entry,cnat_c2,cnat_c3,cnat_c4,cnat_c6,cnat_c8,cnat_d2,cnat_d3,cnat_d4,cnat_d6,cnat_d8
Q69ZU8,4,309,372,0,0,0,267,229,0,0
Q69ZX6,2921,803,1125,976,495,3288,1328,2022,424,1062
Q69ZX8,61,15,18,8,0,46,6,17,0,6
Q6A028,192,245,331,9,26,487,1386,1590,0,13
Q6A039,0,0,0,0,0,0,0,0,0,0
Q6A044,46,4,44,3,7,37,9,15,0,1
Q6A051,1135,159,849,128,35,2988,375,1401,118,46
Q6A070,1055,724,626,443,490,836,1036,569,285,715
Q6A098,103,372,281,37,40,119,455,438,27,8
Q6A4L1,350,51,173,26,19,746,95,232,51,3
Q6AUK6,0,0,0,0,0,0,1,4,0,0
Q6AUV1,0,0,0,3,0,0,0,0,19,0
Q6AVA8,0,8,0,0,20,0,0,8,0,0
Q6AWX0,0,0,0,0,0,0,0,0,0,0
Q6AX31,21,19,52,7,2,31,26,28,0,2
Q6AX33,150,29,57,27,4,119,34,72,0,4
Q6AX59,302,78,141,238,65,636,156,258,24,93
Q6AX80,42,10,21,8,2,22,24,63,0,8
Q6AXF6,0,0,0,0,0,0,0,0,0,0
Q6AXJ7,230,154,177,45,44,269,275,390,33,241
Q6AXJ9,606,153,395,82,50,1206,326,705,183,74
Q6AXP4,441,168,240,131,240,647,417,508,49,464
Q6AXS4,947,410,551,302,133,1293,623,1472,126,386
Q6AXU0,31,335,516,0,80,20,177,196,0,50
Q6AXU1,240,121,93,80,74,166,236,178,8,124
Q6AXX4,79,32,62,23,4,144,60,85,26,8
Q6AXY7,725,234,194,534,288,622,438,252,67,486
Q6AY20,1110,241,531,148,86,2117,205,1057,105,94
Q6AY53,210,124,120,111,135,203,174,268,6,104
Q6AY62,408,285,267,128,122,1179,397,534,186,854
Q6AY96,167,114,57,65,49,209,187,137,55,55
Q6AYB3,37,28,28,2,41,76,31,57,18,10
Q6AYC5,2615,1101,2076,841,1212,2856,1379,1387,362,1179
Q6AYC8,683,449,447,317,315,203,415,238,37,235
Q6AYD3,708,512,479,206,359,1397,994,1258,304,869
Q6AYG3,0,321,306,0,0,0,306,267,0,0
Q6AYH3,666,199,429,128,123,1150,605,771,181,196
Q6AYH6,239,103,158,51,57,296,163,202,35,112
