Entry,past_c1,past_c5,past_c6,past_c7,past_d1,past_d2,past_d3,past_d4,past_d5,past_d6,past_d7
A7LXU3,13,2,15,0,25,19,5,9,5,0,1
A7MB73,10,2,0,2,4,4,0,0,1,0,0
A7MBH5,183,64,142,6,142,190,85,62,104,66,13
A7MBI7,86,18,50,7,79,92,26,33,34,37,6
A7MBP4,179,74,92,11,192,152,62,57,43,84,19
A7MQN1,128,30,81,7,90,98,28,52,25,46,0
A7MXZ9,78,22,23,3,76,53,14,17,2,5,1
A7PQS0,81,35,20,1,90,76,36,64,17,15,6
A7PZL3,10,0,0,0,5,0,0,3,7,0,0
A7QJG1,1150,358,524,90,1233,1128,411,505,255,480,152
A7RDN6,113,28,64,13,65,112,37,41,42,13,27
A7RK30,81,45,47,3,54,61,32,27,33,16,14
A7RKF6,0,0,0,0,0,0,0,0,0,0,0
A7RM45,0,0,0,0,0,0,0,0,0,0,0
A7S2N8,38,5,7,7,18,30,12,4,14,2,2
A7SDW5,219,59,80,35,144,203,56,61,59,51,15
A7SE05,79,22,35,8,30,71,23,10,53,10,11
A7SG73,86,30,35,5,57,70,49,31,34,0,6
A7SLC8,0,5,0,0,6,0,0,0,0,0,0
A7SNN5,213,77,107,35,155,179,60,85,59,8,28
A7STV9,29,12,8,0,22,33,15,7,11,3,1
A7SWH1,102,61,50,9,74,127,52,34,80,15,22
A7T1N0,145,41,109,2,108,103,30,46,34,30,18
A7TKR8,0,0,0,0,0,0,0,0,0,0,0
A7TSF4,14,0,2,0,13,5,0,5,0,0,3
A7TTT5,29,3,19,1,25,22,10,5,6,3,9
A7UX13,100,24,67,0,65,68,8,16,33,0,11
A7VK00,0,0,0,0,0,2,1,2,0,0,0
A7WM73,10,11,12,3,9,13,12,5,8,6,0
A7XDQ9,14,0,8,0,1,4,2,0,7,0,3
A7YY53,32,28,31,2,88,75,23,37,26,17,9
A7Z050,82,21,60,2,75,77,14,26,19,5,4
A7Z056,43,9,28,1,31,33,22,16,7,7,0
A7Z061,98,26,28,15,100,65,31,24,40,10,14
A7Z3F2,144,43,59,6,64,96,41,33,54,20,22
A7Z4X7,72,17,25,6,38,51,14,10,37,14,8
A7ZCH3,40,16,19,0,23,13,15,40,5,6,0
A8AJW9,350,96,115,27,342,293,87,80,49,156,20
A8APS7,10,6,17,1,8,13,7,12,4,0,1
A8ARD9,54,17,44,0,56,43,9,24,13,30,7
A8CDR5,90,24,44,4,73,83,45,54,20,1,12
A8CVX7,53,26,23,2,37,55,27,26,17,8,4
A8DZH4,64,27,38,5,17,33,19,17,27,4,3
A8E534,132,36,107,20,112,111,59,41,33,36,11
A8EXK1,48,15,20,0,0,36,25,30,10,56,10
A8F3K0,33,31,9,3,42,20,14,16,12,13,6
A8FED1,113,22,71,8,52,87,25,28,29,19,13
A8G2E1,0,0,0,0,0,0,0,0,0,0,0
A8G6V0,0,0,0,0,0,0,0,0,0,0,0
A8G9J4,17,25,28,5,6,53,3,15,21,6,10
A8GG79,206,108,183,16,226,217,87,111,107,49,12
A8GXR7,69,9,26,5,26,47,22,4,16,0,4
A8HMZ4,206,85,159,23,312,204,89,114,42,120,37
A8HQ54,125,27,68,16,70,98,20,37,40,55,10
A8HS48,2368,846,1610,186,2186,1770,948,1218,533,1730,313
A8HUA1,280,132,191,17,241,311,111,62,123,54,24
A8I1Q0,66,39,24,4,49,73,29,15,21,37,0
A8I4E9,223,93,140,16,144,194,88,50,91,32,28
A8I9E8,150,44,76,10,84,131,27,35,45,13,5
A8IAT8,137,58,112,7,193,132,70,65,28,113,34
A8IB22,71,17,26,4,69,58,14,25,22,20,15
A8IHV3,171,72,106,34,118,194,79,74,77,27,9
A8ILK1,263,86,94,13,302,175,58,66,48,40,21
A8IPQ8,0,0,0,0,0,1,1,0,0,0,0
A8IPT1,282,114,164,29,299,301,129,83,66,126,12
