Entry,mcav_c1,mcav_c3,mcav_c5,mcav_c6,mcav_c7,mcav_c8,mcav_d1,mcav_d2,mcav_d3,mcav_d4,mcav_d5,mcav_d6,mcav_d8
P27601,0,1,7,0,3,1,2,0,0,0,0,0,2
P27604,4620,927,3558,108,2132,4362,2001,4370,2196,1457,237,1014,719
P27615,66,11,84,0,16,117,111,45,44,9,1,35,39
P27653,68,9,47,6,20,77,70,34,79,7,0,29,17
P27694,69,31,111,4,60,142,167,111,103,38,10,120,32
P27773,453,277,367,71,393,1044,1721,891,2465,603,532,1985,689
P27792,17,25,73,3,46,41,9,20,13,8,0,2,13
P27808,238,119,426,32,308,616,790,213,468,97,183,389,300
P27864,8,1,11,0,5,15,22,12,16,3,0,3,2
P27987,251,116,330,41,196,445,769,191,509,63,40,415,160
P28042,40,30,74,8,24,101,80,75,175,42,15,52,17
P28075,75,25,50,7,49,103,392,71,200,67,6,210,72
P28175,0,0,0,0,0,0,0,0,0,0,0,0,0
P28190,6,10,55,8,22,59,97,38,21,5,0,15,2
P28227,146,14,82,2,74,110,203,216,232,29,7,79,76
P28285,11,0,5,0,0,0,6,6,2,0,0,6,0
P28288,0,0,0,0,0,2,12,0,5,0,0,2,0
P28304,51,66,79,10,104,204,38,114,229,61,0,65,169
P28339,30,4,9,0,10,6,13,28,11,0,0,0,0
P28347,20,4,12,0,11,27,17,39,14,2,0,16,20
P28472,0,0,15,2,14,45,0,0,0,0,0,2,8
P28476,104,60,105,11,82,105,143,81,69,51,33,132,24
P28562,244,198,458,78,414,611,521,169,439,110,182,499,318
P28575,31,20,48,3,22,55,34,6,53,3,0,33,10
P28606,24,22,39,4,20,37,92,24,30,7,55,50,55
P28646,13,7,23,0,12,25,24,9,12,0,0,11,12
P28647,5,44,83,30,65,72,63,6,168,4,89,103,58
P28648,669,646,1495,184,1272,1983,625,597,1681,442,436,745,655
P28663,427,212,552,34,426,696,1530,559,943,335,176,969,331
P28685,0,0,0,0,0,3,1,0,0,0,0,0,0
P28738,73,22,79,13,45,98,87,70,89,26,32,107,58
P28749,143,40,299,14,98,284,358,207,226,38,41,50,43
P28758,1372,629,1236,109,1045,2649,309,1443,1851,1014,401,694,931
P28797,0,0,0,0,0,0,0,0,0,0,0,0,0
P28799,513,140,867,42,314,1330,1756,1018,1982,309,28,564,135
P28801,34,42,5,13,35,98,55,63,45,23,0,20,35
P28818,35,21,117,10,42,131,47,25,61,14,3,18,19
P28824,18,3,29,3,7,27,13,15,16,11,0,8,7
P28863,27,4,10,0,8,12,9,107,20,3,10,61,7
P29025,0,0,0,0,0,0,0,0,0,0,0,0,0
P29029,1,0,9,0,1,8,5,1,0,0,0,0,3
P29054,257,244,567,63,425,646,934,260,792,137,189,770,300
P29074,352,262,806,64,437,873,1793,306,890,182,198,1014,380
P29083,116,25,131,11,70,183,245,137,154,14,5,90,69
P29120,8,3,2,2,6,12,24,3,5,0,0,8,2
P29122,0,0,0,0,0,0,30,0,0,0,0,0,0
P29144,34,64,143,9,122,207,298,90,228,66,40,311,114
P29145,209,53,273,34,63,424,312,184,136,22,0,77,63
P29146,33,19,52,1,30,93,75,11,68,6,25,32,43
P29176,0,0,0,0,0,0,3,0,1,0,0,0,1
P29241,10,5,2,2,5,38,12,14,21,2,0,10,16
P29274,59,46,95,15,73,125,187,120,179,36,20,323,71
P29275,259,241,406,43,329,376,5877,556,945,466,208,4504,190
P29276,12,0,0,0,2,0,0,5,5,0,0,0,0
P29294,55,20,96,0,33,65,44,18,75,20,14,10,28
P29315,10,13,9,0,13,34,19,0,17,1,0,11,18
P29350,481,221,656,52,340,743,747,554,857,299,94,444,202
P29371,256,206,368,43,330,585,229,151,460,33,74,173,214
P29375,797,253,968,78,526,915,2175,592,970,284,140,915,429
P29476,0,0,8,2,0,7,2,0,0,0,0,2,0
P29506,27,7,12,2,17,27,114,24,4,11,0,22,33
P29594,22,7,41,4,24,39,123,37,46,15,10,18,9
P29674,17,5,32,0,22,37,33,11,36,5,0,15,7
P29773,317,2035,3850,461,1867,3220,9713,810,7487,418,1310,10769,2164
P29797,42,10,82,13,37,59,139,91,45,10,11,16,8
P30043,100,26,120,15,101,221,46,47,172,32,0,117,99
P30044,1090,588,1265,243,1058,1578,2224,1290,4814,1066,1571,12595,837
P30173,219,56,251,12,112,270,429,271,260,77,5,91,54
P30204,1260,69,184,28,32,199,1532,1169,269,32,109,2064,154
P30235,20,42,65,6,64,101,31,34,109,8,9,49,41
P30301,0,0,6,3,2,7,0,7,2,0,0,0,3
P30306,0,0,0,0,1,0,0,0,0,0,0,0,0
P30430,0,2,4,0,0,1,1,0,1,0,0,0,2
P30543,30,9,24,0,14,27,47,37,15,1,0,6,12
P30549,6,0,21,0,2,11,10,0,5,0,0,3,1
P30648,54,26,410,18,56,356,16,100,53,47,17,20,90
P30676,1241,835,1849,187,1626,2337,3985,1105,2362,420,743,1909,1123
P30728,1,0,0,0,0,0,0,0,0,0,0,0,4
P30740,480,204,747,65,544,769,764,374,627,196,233,378,325
P30754,21,0,44,0,11,43,0,0,2,0,0,0,1
P30803,21,3,65,17,7,72,92,72,15,15,0,30,1
P30825,68,7,43,5,31,82,47,60,73,22,0,11,16
P30839,322,78,255,5,95,228,156,115,247,64,17,57,46
P30876,502,288,523,91,575,1085,1141,455,821,127,155,765,480
P30883,40,14,103,3,44,154,48,160,57,5,0,35,22
P30885,5,0,0,0,1,4,2,0,0,0,4,0,16
P30886,28,25,47,3,54,56,5,8,0,0,0,0,3
P30937,17,15,34,3,28,44,69,20,32,10,0,42,26
P30938,0,0,0,0,0,0,0,0,0,0,0,0,0
P30974,242,133,471,37,341,549,597,122,287,112,31,437,240
P30975,28,11,27,3,14,27,102,44,29,12,6,102,6
P31029,300,111,472,38,197,411,6416,938,2281,423,100,4253,211
P31226,85,25,575,8,45,262,11,44,5,16,40,37,53
P31228,182,171,467,86,392,369,325,80,509,62,214,201,190
P31232,153,60,90,22,218,386,0,53,53,1,56,0,107
P31266,154,60,277,27,206,313,269,98,192,38,55,199,133
P31327,155,132,308,29,186,411,121,182,319,38,103,148,115
P31335,275,240,763,58,475,837,201,300,658,218,167,286,372
P31401,342,177,464,51,493,787,1263,514,1027,178,155,675,260
P31404,4,5,14,0,7,17,25,0,20,4,0,22,1
P31422,0,0,0,0,0,0,0,0,0,0,0,0,0
P31429,447,28,548,12,528,957,171,37,70,35,84,51,237
P31533,18,46,2,4,11,26,5,7,13,2,19,5,28
P31579,0,2,1,1,7,18,1,8,0,2,0,0,1
P31580,121,34,31,13,17,22,458,233,105,1,28,651,37
P31641,7,0,1,0,0,0,0,0,0,0,0,0,0
P31646,354,136,907,26,416,1227,1428,351,347,159,17,3921,154
P31647,0,2,0,2,5,23,1,5,0,0,0,0,0
P31649,0,0,11,0,0,7,0,0,2,0,0,0,0
P31685,6,1,10,0,1,3,16,0,7,9,0,4,0
P31695,4,3,5,2,3,7,2,4,0,0,0,0,0
P31696,68,43,233,44,62,178,500,217,244,66,0,140,13
P31729,229,129,277,52,270,516,86,106,416,70,71,112,199
P31792,21,22,82,17,93,130,66,6,92,23,31,58,79
P31836,13,8,47,7,31,32,29,29,54,2,0,23,5
P31851,309,93,312,11,284,778,531,150,304,71,30,447,126
P31907,798,337,1313,46,743,1830,6184,832,1275,420,93,22265,570
P32018,18,0,2,0,2,88,108,0,1,1,0,1119,12
P32020,30,19,62,9,45,85,120,51,106,17,0,93,26
P32198,0,0,7,0,13,18,1,0,0,0,0,0,5
P32242,61,36,55,5,50,19,305,85,193,17,42,84,19
P32297,92,105,96,29,184,341,67,68,145,14,41,19,78
P32303,2,0,0,0,2,2,0,0,4,0,0,1,0
P32320,25,21,64,2,46,74,65,16,51,18,15,20,49
P32456,17,34,107,3,28,58,49,31,53,1,26,19,8
P32599,55,128,285,48,182,186,228,53,257,24,200,292,145
P32674,810,189,858,39,717,544,132,582,777,91,269,83,609
P32780,273,182,419,54,383,514,737,272,547,134,167,410,348
P32929,1016,353,1204,73,629,1240,1572,1377,1471,857,220,1187,411
P33005,18,23,109,13,31,138,94,46,32,22,0,57,33
P33032,29,28,38,10,16,57,50,24,51,22,82,73,21
P33205,38,20,11,1,14,53,10,26,26,1,46,5,8
P33274,1,5,22,3,3,15,21,9,22,2,0,7,0
P33436,2,0,1,0,0,3,2,0,1,0,0,0,0
P33450,0,0,0,0,0,0,2,0,0,0,0,3,0
P33610,52,16,32,4,41,94,23,41,68,13,33,24,34
P33727,2,4,54,3,27,57,11,6,24,0,0,9,6
P33731,274,100,241,27,231,218,777,258,509,193,89,641,149
P33947,193,35,129,11,137,368,513,364,261,103,19,251,68
P34022,52,16,40,17,25,77,156,68,62,9,19,50,17
P34059,0,0,11,0,4,11,23,16,17,4,0,7,0
P34118,39,29,98,9,95,141,90,39,56,2,0,38,52
P34121,238,129,359,23,287,459,864,239,603,194,157,450,295
P34147,292,187,559,45,361,597,1371,305,791,172,78,723,237
P34257,0,2,1,0,0,0,0,0,0,0,0,0,2
P34275,26,16,99,7,35,67,57,18,52,10,0,11,13
P34410,98,53,118,17,91,168,20,43,104,15,0,56,53
P34456,36,41,133,72,41,140,169,31,125,16,13,141,41
P34457,214,163,556,232,273,473,324,260,398,75,138,410,110
P34528,176,58,262,9,108,269,252,174,282,71,22,95,79
